Hyperparameter search over trackpy + hole-filling

{'TRACKPY_SEARCH_RANGE': [20, 30, 40], 'TRACKPY_MEMORY': [10, 20], 'MAX_HOLE_LEN': [5, 10, 20], 'HOLE_MIN_EDGE_CONF': [0.5, 0.6, 0.7]}

exp_035: IDF1=0.8086, TRACKPY_SEARCH_RANGE=30, TRACKPY_MEMORY=20, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.7
exp_036: IDF1=0.8072, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.5
exp_037: IDF1=0.8080, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.6
exp_038: IDF1=0.8079, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.7
exp_039: IDF1=0.8067, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.5
exp_040: IDF1=0.8079, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.6
exp_041: IDF1=0.8080, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.7
exp_042: IDF1=0.8067, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.5
exp_043: IDF1=0.8079, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.6
exp_044: IDF1=0.8080, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=10, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.7
exp_045: IDF1=0.8030, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.5
exp_046: IDF1=0.8038, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.6
exp_047: IDF1=0.8037, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=5, HOLE_MIN_EDGE_CONF=0.7
exp_048: IDF1=0.8026, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.5
exp_049: IDF1=0.8037, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.6
exp_050: IDF1=0.8037, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=10, HOLE_MIN_EDGE_CONF=0.7
exp_051: IDF1=0.8017, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.5
exp_052: IDF1=0.8033, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.6
exp_053: IDF1=0.8035, TRACKPY_SEARCH_RANGE=40, TRACKPY_MEMORY=20, MAX_HOLE_LEN=20, HOLE_MIN_EDGE_CONF=0.7
